,Unnamed: 0,BrandName,Deatils,Sizes,MRPNum,SellPrice,DiscountPercentage,Category,inBudgetPrice,CustomerValue
72,14,enamor,womens scoop neck solid top - red mix,"Size:Medium,Small,X-Large",2.99,2.09,0.3,Lingerie&Nightwear-Women,3,3
73,15,enamor,womens striped bikini briefs - pale peach,"Size:XL,XX-Large",2.99,2.09,0.3,Lingerie&Nightwear-Women,3,3
74,1,enamor,womens striped bikini briefs - denim black enzyme,"Size:XL,XX-Large",2.99,2.09,0.3,Lingerie&Nightwear-Women,3,3
75,18,life,womens kite diamond stud drop 2089 - brown,Nan,2.99,2.09,0.3,Jewellery-Women,3,3
76,2,tribal zone,womens set of 3 multi colored rings,Nan,2.99,2.09,0.3,Jewellery-Women,3,3
77,5,tribal zone,womens golden hollow u shape hoop,Nan,2.99,2.09,0.3,Jewellery-Women,3,3
78,15,tribal zone,pink enameled triangle stud with round cutwork earring - pink,Nan,2.99,2.09,0.3,Jewellery-Women,3,3
79,21,tribal zone,womens filigri cutwork flower shaped antique gold ring,Nan,2.99,2.09,0.3,Jewellery-Women,3,3
80,19,life,womens elephants on loop 2084 - brown,Nan,2.99,2.09,0.3,Jewellery-Women,3,3
81,18,tribal zone,womens filigri cutwork flower shaped oxidised silver ring,Nan,2.99,2.09,0.3,Jewellery-Women,3,3
82,9,tribal zone,womens dream catcher earrings 2019 - red,Nan,2.99,2.09,0.3,Jewellery-Women,3,3
83,14,tribal zone,womens set of 4 rings,Nan,2.99,2.09,0.3,Jewellery-Women,3,3
84,8,pretty women,womens alloy crystal hoops - yellow,Nan,2.99,2.54,0.1,Jewellery-Women,3,3
85,8,enamor,womens non padded non wired full coverage every day bra - white,"Size:32-B,32-C,32-D,34-D,38-B,38-C",3.0,1.5,0.5,Lingerie&Nightwear-Women,3,3
86,2,enamor,womens non padded non wired full coverage every day bra - crimson,"Size:32-B,32-C,32-D,34-D,38-B,38-C",3.0,1.5,0.5,Lingerie&Nightwear-Women,3,3
87,4,enamor,womens non padded non wired full coverage every day bra - charcoal,"Size:32-B,32-C,32-D,34-D,38-B,38-C",3.0,1.5,0.5,Lingerie&Nightwear-Women,3,3
88,1,clovia,womens non-padded non-wired bra - yellow,"Size:32-B,32-C,32-D,34-B,34-C,34-D,36-B,36-C,36-D,38-B,38-C,40-B",3.42,1.37,0.6,Lingerie&Nightwear-Women,4,4
89,10,clovia,womens non-padded non-wired bra - grey,"Size:32-C,32-D,34-C",3.42,1.37,0.6,Lingerie&Nightwear-Women,4,4
90,24,clovia,womens cotton non-padded non-wired printed bra - multi,"Size:32-B,32-C",3.42,1.37,0.6,Lingerie&Nightwear-Women,4,4
91,19,clovia,womens non-padded non-wired printed t-shirt bra - red,Size:32-C,3.42,1.37,0.6,Lingerie&Nightwear-Women,4,4
92,1,clovia,womens cotton rich non-padded non-wired t-shirt bra with lace - purple,"Size:32-B,32-C,34-B,34-C,36-B,36-C,38-B,38-C,40-B,40-C",3.42,2.05,0.4,Lingerie&Nightwear-Women,4,4
93,6,clovia,tshirt bra with add-on support - off white,"Size:32-C,34-C",3.42,2.05,0.4,Lingerie&Nightwear-Women,4,4
94,15,clovia,womens cotton rich non-padded non-wired bra with lace - natural,"Size:32-B,32-C",3.42,2.05,0.4,Lingerie&Nightwear-Women,4,4
95,25,clovia,womens non-padded bra - green,"Size:34-C,36-B,36-C",3.42,2.05,0.4,Lingerie&Nightwear-Women,4,4
96,17,clovia,womens non-padded non-wired bra - yellow,"Size:32-B,32-C",3.42,2.05,0.4,Lingerie&Nightwear-Women,4,4
97,21,clovia,womens cotton rich non-padded non-wired t-shirt bra - pink,"Size:34-C,36-D",3.42,2.05,0.4,Lingerie&Nightwear-Women,4,4
98,6,life,womens 2 layer reusable protective fashion mask- pack of 3 - multi,Nan,3.49,1.74,0.5,Westernwear-Women,4,4
99,18,life,womens 2 layer reusable protective fashion mask- pack of 3 - multi,Nan,3.49,1.74,0.5,Westernwear-Women,4,4
100,10,life,womens 2 layer reusable protective fashion mask- pack of 3 - multi,Nan,3.49,1.74,0.5,Westernwear-Women,4,4
101,18,life,womens 2 layer reusable protective fashion mask- pack of 3 - multi,Nan,3.49,1.74,0.5,Westernwear-Women,4,4
102,21,pretty women,womens red formal earrings,Nan,3.49,2.96,0.1,Jewellery-Women,4,4
103,4,soie,womens lace bikini briefs set - multi,"Size:Large,Small,X-Large,XX-Large",3.8,3.04,0.2,Lingerie&Nightwear-Women,4,4
104,7,enamor,womens non padded non wired medium coverage every day bra - peacock,"Size:32-B,32-C,32-D,38-B",3.9,1.95,0.5,Lingerie&Nightwear-Women,4,4
105,11,enamor,womens non padded non wired medium coverage every day bra - navy,"Size:32-B,32-C,32-D,38-B",3.9,1.95,0.5,Lingerie&Nightwear-Women,4,4
106,19,enamor,womens non padded non wired full coverage every day bra - white,"Size:32-B,32-C,32-D,34-C,34-D,38-B,38-C",3.9,1.95,0.5,Lingerie&Nightwear-Women,4,4
107,13,enamor,womens non padded non wired medium coverage every day bra - off white,"Size:32-B,32-C,32-D,38-B",3.9,1.95,0.5,Lingerie&Nightwear-Women,4,4
108,25,wacoal,womens solid hipster briefs - natural,"Size:Large,Medium,Small",3.95,1.97,0.5,Lingerie&Nightwear-Women,4,4
109,14,ayesha,womens antique silver toned oversized circular star cut with black pearl charms tribal ethnic earrings - silver,Nan,3.98,1.19,0.7,Jewellery-Women,4,4
110,4,ayesha,mens rugged black leather wrap around bracelet and necklace,Nan,3.98,1.19,0.7,Jewellery-Women,4,4
111,10,ayesha,womens oval stone encrusted ring - multi,Nan,3.98,1.19,0.7,Jewellery-Women,4,4
112,4,ayesha,womens antique silver toned circular star cut with blue pearl charms tribal oversized ethnic earrings,Nan,3.98,1.19,0.7,Jewellery-Women,4,4
113,21,ayesha,womens square stone encrusted ring - multi,Nan,3.98,1.19,0.7,Jewellery-Women,4,4
114,4,ayesha,womens antique gold oversized team circular star cut with white pearl charms tribal ethnic earrings - yellow,Nan,3.98,1.19,0.7,Jewellery-Women,4,4
115,6,ayesha,oversized handcrafted ethnic gold ghungroo hook circular drop earrings,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
116,9,ayesha,womens white glitter bangles set (18pcs) - multi,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
117,18,ayesha,womens ethnic tribal ornate metallic silver bangles (set of 2) - multi,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
118,20,ayesha,womens set of 9 metallic coloured big multi-shaped western style stud earrings - multi,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
119,18,ayesha,womens black and white bangles set (18pcs) - multi,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
120,5,ayesha,womes silver plated earring,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
121,17,ayesha,womens pink leather multi strand with metallic silver studded wrap-around bracelet - multi,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
122,20,ayesha,womens western peace symbol mesh earrings - multi,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
123,3,ayesha,womens western neon pink mesh earrings - multi,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
124,7,ayesha,womens metallic gold hollow circle stud western earrings - multi,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
125,16,ayesha,womens geometric drop earrings - multi,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
126,4,ayesha,womens black and metallic gold dual hoop oversized western earrings - multi,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
127,17,ayesha,womens silver plated metallic cat drop earrings - multi,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
128,14,ayesha,womens star drop earrings - multi,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
129,0,ayesha,womens white and metallic gold dual hoop oversized western earrings - multi,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
130,18,ayesha,silver toned hoop earring for women,Nan,3.98,1.99,0.5,Jewellery-Women,4,4
131,23,ayesha,"womens antique silver toned, tribal earring stud - multi",Nan,3.98,1.99,0.5,Jewellery-Women,4,4
132,20,insense,printed cotton blend womens hipster briefs - multi,"Size:Large,Medium,Small,X-Large,XX-Large",3.99,1.19,0.7,Lingerie&Nightwear-Women,4,4
133,12,insense,printed cotton blend womens hipster briefs - multi,"Size:Large,Medium,Small,X-Large,XX-Large",3.99,1.19,0.7,Lingerie&Nightwear-Women,4,4
134,15,insense,printed cotton blend womens hipster briefs - multi,"Size:Large,Medium,Small,X-Large,XX-Large",3.99,1.19,0.7,Lingerie&Nightwear-Women,4,4
135,6,insense,solid cotton blend womens hipster briefs - black,"Size:Large,Medium,Small,X-Large,XX-Large",3.99,1.19,0.7,Lingerie&Nightwear-Women,4,4
136,11,insense,printed cotton blend womens hipster briefs - multi,"Size:Large,Medium,Small,X-Large,XX-Large",3.99,1.19,0.7,Lingerie&Nightwear-Women,4,4
