,BrandName,Deatils,Sizes,MRPNum,SellPrice,DiscountPercentage,Category
18,life,womens 2 layer reusable protective fashion mask- pack of 3 - multi,Nan,349,174,0.5,Westernwear-Women
10,life,womens 2 layer reusable protective fashion mask- pack of 3 - multi,Nan,349,174,0.5,Westernwear-Women
18,life,womens 2 layer reusable protective fashion mask- pack of 3 - multi,Nan,349,174,0.5,Westernwear-Women
21,pretty women,womens red formal earrings,Nan,349,296,0.1,Jewellery-Women
4,soie,womens lace bikini briefs set - multi,"Size:Large,Small,X-Large,XX-Large",380,304,0.2,Lingerie&Nightwear-Women
7,enamor,womens non padded non wired medium coverage every day bra - peacock,"Size:32-B,32-C,32-D,38-B",390,195,0.5,Lingerie&Nightwear-Women
11,enamor,womens non padded non wired medium coverage every day bra - navy,"Size:32-B,32-C,32-D,38-B",390,195,0.5,Lingerie&Nightwear-Women
19,enamor,womens non padded non wired full coverage every day bra - white,"Size:32-B,32-C,32-D,34-C,34-D,38-B,38-C",390,195,0.5,Lingerie&Nightwear-Women
13,enamor,womens non padded non wired medium coverage every day bra - off white,"Size:32-B,32-C,32-D,38-B",390,195,0.5,Lingerie&Nightwear-Women
25,wacoal,womens solid hipster briefs - natural,"Size:Large,Medium,Small",395,197,0.5,Lingerie&Nightwear-Women
14,ayesha,womens antique silver toned oversized circular star cut with black pearl charms tribal ethnic earrings - silver,Nan,398,119,0.7,Jewellery-Women
4,ayesha,mens rugged black leather wrap around bracelet and necklace,Nan,398,119,0.7,Jewellery-Women
10,ayesha,womens oval stone encrusted ring - multi,Nan,398,119,0.7,Jewellery-Women
4,ayesha,womens antique silver toned circular star cut with blue pearl charms tribal oversized ethnic earrings,Nan,398,119,0.7,Jewellery-Women
21,ayesha,womens square stone encrusted ring - multi,Nan,398,119,0.7,Jewellery-Women
4,ayesha,womens antique gold oversized team circular star cut with white pearl charms tribal ethnic earrings - yellow,Nan,398,119,0.7,Jewellery-Women
6,ayesha,oversized handcrafted ethnic gold ghungroo hook circular drop earrings,Nan,398,199,0.5,Jewellery-Women
9,ayesha,womens white glitter bangles set (18pcs) - multi,Nan,398,199,0.5,Jewellery-Women
18,ayesha,womens ethnic tribal ornate metallic silver bangles (set of 2) - multi,Nan,398,199,0.5,Jewellery-Women
20,ayesha,womens set of 9 metallic coloured big multi-shaped western style stud earrings - multi,Nan,398,199,0.5,Jewellery-Women
18,ayesha,womens black and white bangles set (18pcs) - multi,Nan,398,199,0.5,Jewellery-Women
5,ayesha,womes silver plated earring,Nan,398,199,0.5,Jewellery-Women
17,ayesha,womens pink leather multi strand with metallic silver studded wrap-around bracelet - multi,Nan,398,199,0.5,Jewellery-Women
20,ayesha,womens western peace symbol mesh earrings - multi,Nan,398,199,0.5,Jewellery-Women
3,ayesha,womens western neon pink mesh earrings - multi,Nan,398,199,0.5,Jewellery-Women
7,ayesha,womens metallic gold hollow circle stud western earrings - multi,Nan,398,199,0.5,Jewellery-Women
16,ayesha,womens geometric drop earrings - multi,Nan,398,199,0.5,Jewellery-Women
4,ayesha,womens black and metallic gold dual hoop oversized western earrings - multi,Nan,398,199,0.5,Jewellery-Women
17,ayesha,womens silver plated metallic cat drop earrings - multi,Nan,398,199,0.5,Jewellery-Women
14,ayesha,womens star drop earrings - multi,Nan,398,199,0.5,Jewellery-Women
0,ayesha,womens white and metallic gold dual hoop oversized western earrings - multi,Nan,398,199,0.5,Jewellery-Women
18,ayesha,silver toned hoop earring for women,Nan,398,199,0.5,Jewellery-Women
23,ayesha,"womens antique silver toned, tribal earring stud - multi",Nan,398,199,0.5,Jewellery-Women
20,insense,printed cotton blend womens hipster briefs - multi,"Size:Large,Medium,Small,X-Large,XX-Large",399,119,0.7,Lingerie&Nightwear-Women
12,insense,printed cotton blend womens hipster briefs - multi,"Size:Large,Medium,Small,X-Large,XX-Large",399,119,0.7,Lingerie&Nightwear-Women
15,insense,printed cotton blend womens hipster briefs - multi,"Size:Large,Medium,Small,X-Large,XX-Large",399,119,0.7,Lingerie&Nightwear-Women
6,insense,solid cotton blend womens hipster briefs - black,"Size:Large,Medium,Small,X-Large,XX-Large",399,119,0.7,Lingerie&Nightwear-Women
11,insense,printed cotton blend womens hipster briefs - multi,"Size:Large,Medium,Small,X-Large,XX-Large",399,119,0.7,Lingerie&Nightwear-Women
25,insense,printed cotton blend womens hipster briefs - multi,"Size:Large,Medium,Small,X-Large,XX-Large",399,119,0.7,Lingerie&Nightwear-Women
10,altlife,printed cotton round neck womens active wear t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
5,altlife,printed cotton round neck womens active wear t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
14,altlife,printed cotton round neck womens active wear t-shirt - ocean,"Size:Large,Medium,Small,X-Large,X-Small",399,199,0.5,Westernwear-Women
20,insense,half sleeves night wear womens t-shirt - navy,"Size:Medium,Small,X-Small",399,199,0.5,Westernwear-Women
20,life,solid cotton round neck womens active wear t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
